weight_CDM,weight_HRF,weight_CRF,stormSeverity,rainfallSeverity,timeOfDay,threshold,self.evacuated_inside + self.evacuated_outside
0.4,0.1,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.1,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.7,3
0.4,0.2,0.4,1,Yellow,Daytime,0.7,4
0.4,0.2,0.4,1,Yellow,Daytime,0.7,2
0.4,0.2,0.4,1,Yellow,Daytime,0.7,4
0.4,0.2,0.4,1,Yellow,Daytime,0.7,4
0.4,0.2,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.2,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7,1
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.30000000000000004,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.7999999999999999,0
0.4,0.4,0.2,1,Yellow,Daytime,0.8999999999999999,0
